productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Iceberg Lettuce,2001/10/28,$0.19 ,$1.41 ,$1.27 ,$1.22 ,$1.32 ,586.84%
Green Leaf Lettuce,2001/10/28,$0.17 ,$1.20 ,$1.44 ,$1.14 ,$1.67 ,701.47%
Potatoes,2001/10/21,$1.05 ,$4.01 ,$3.11 ,$2.41 ,$3.66 ,214.05%
Plums,2001/10/21,$0.39 ,$1.86 ,$1.17 ,$1.52 ,$1.43 ,283.33%
Oranges,2001/10/21,$0.06 ,$0.38 ,$0.39 ,$0.00 ,$0.24 ,320.83%
Iceberg Lettuce,2001/10/21,$0.19 ,$1.41 ,$1.22 ,$1.14 ,$1.37 ,576.32%
Green Leaf Lettuce,2001/10/21,$0.17 ,$1.20 ,$1.49 ,$1.14 ,$1.67 ,708.82%
Celery,2001/10/21,$0.19 ,$1.41 ,$0.99 ,$1.14 ,$1.19 ,522.37%
Cauliflower,2001/10/21,$0.19 ,$1.02 ,$0.77 ,$0.94 ,$0.91 ,378.95%
Tomatoes,2001/10/21,$0.47 ,$2.25 ,$2.32 ,$2.56 ,$2.49 ,411.70%
Carrots,2001/10/21,$0.21 ,$0.71 ,$0.73 ,$0.49 ,$0.82 ,227.38%
Strawberries,2001/10/21,$1.06 ,$4.31 ,$3.87 ,$3.82 ,$3.12 ,256.60%
Broccoli Crowns,2001/10/21,$0.31 ,$1.41 ,$0.00 ,$1.32 ,$1.59 ,248.39%
Romaine Lettuce,2001/10/21,$0.19 ,$1.20 ,$1.44 ,$1.07 ,$0.99 ,518.42%
Broccoli Bunches,2001/10/21,$0.23 ,$1.36 ,$1.02 ,$0.81 ,$1.20 ,377.17%
Red Leaf Lettuce,2001/10/21,$0.17 ,$1.20 ,$1.49 ,$1.14 ,$1.67 ,708.82%
Avocados,2001/10/21,$0.72 ,$1.26 ,$1.47 ,$1.42 ,$1.75 ,104.86%
Celery,2001/10/14,$0.19 ,$1.56 ,$1.16 ,$1.14 ,$1.42 ,594.74%
Cauliflower,2001/10/14,$0.19 ,$0.96 ,$1.04 ,$1.02 ,$1.03 ,432.89%
Tomatoes,2001/10/14,$0.41 ,$2.15 ,$2.09 ,$2.22 ,$2.22 ,429.27%
Carrots,2001/10/14,$0.21 ,$0.74 ,$0.84 ,$0.49 ,$0.84 ,246.43%
Strawberries,2001/10/14,$1.08 ,$4.49 ,$3.99 ,$3.82 ,$3.12 ,256.94%
Broccoli Crowns,2001/10/14,$0.28 ,$1.46 ,$1.69 ,$1.27 ,$0.99 ,383.04%
Romaine Lettuce,2001/10/14,$0.23 ,$1.20 ,$1.15 ,$1.14 ,$0.99 ,386.96%
Broccoli Bunches,2001/10/14,$0.23 ,$1.40 ,$1.52 ,$0.94 ,$1.13 ,442.39%
Red Leaf Lettuce,2001/10/14,$0.17 ,$1.20 ,$1.47 ,$1.14 ,$1.67 ,705.88%
Avocados,2001/10/14,$0.73 ,$1.21 ,$1.56 ,$1.64 ,$1.75 ,110.96%
Potatoes,2001/10/14,$1.05 ,$4.14 ,$3.74 ,$2.67 ,$4.32 ,254.05%
Plums,2001/10/14,$0.39 ,$1.86 ,$1.17 ,$1.52 ,$1.43 ,283.33%
Oranges,2001/10/14,$0.07 ,$0.00 ,$0.62 ,$1.08 ,$0.18 ,571.43%
Iceberg Lettuce,2001/10/14,$0.19 ,$1.60 ,$1.29 ,$1.22 ,$1.34 ,617.11%
Green Leaf Lettuce,2001/10/14,$0.17 ,$1.20 ,$1.47 ,$1.14 ,$1.67 ,705.88%
Romaine Lettuce,2001/10/7,$0.30 ,$1.27 ,$1.39 ,$1.07 ,$1.07 ,300.00%
Broccoli Bunches,2001/10/7,$0.31 ,$1.30 ,$1.43 ,$0.92 ,$1.14 ,286.29%
Red Leaf Lettuce,2001/10/7,$0.18 ,$1.32 ,$1.57 ,$1.07 ,$1.62 ,675.00%
Avocados,2001/10/7,$0.72 ,$1.21 ,$1.36 ,$1.62 ,$1.79 ,107.64%
Potatoes,2001/10/7,$1.03 ,$3.84 ,$3.62 ,$2.92 ,$3.66 ,240.78%
Plums,2001/10/7,$0.39 ,$1.86 ,$1.17 ,$1.52 ,$1.43 ,283.33%
Oranges,2001/10/7,$0.07 ,$0.41 ,$0.62 ,$1.01 ,$0.30 ,735.71%
Iceberg Lettuce,2001/10/7,$0.23 ,$1.31 ,$1.11 ,$1.09 ,$1.44 ,438.04%
Green Leaf Lettuce,2001/10/7,$0.18 ,$1.32 ,$1.57 ,$1.07 ,$1.62 ,675.00%
Celery,2001/10/7,$0.18 ,$1.51 ,$1.09 ,$1.14 ,$1.29 ,598.61%
Cauliflower,2001/10/7,$0.22 ,$1.00 ,$1.09 ,$0.96 ,$1.03 ,363.64%
Tomatoes,2001/10/7,$0.37 ,$1.37 ,$2.09 ,$1.77 ,$1.99 ,387.84%
Carrots,2001/10/7,$0.21 ,$0.74 ,$0.84 ,$0.55 ,$0.79 ,247.62%
Strawberries,2001/10/7,$1.28 ,$4.37 ,$3.49 ,$3.77 ,$3.24 ,190.43%
Broccoli Crowns,2001/10/7,$0.41 ,$1.46 ,$1.69 ,$1.32 ,$1.66 ,273.78%
Iceberg Lettuce,2001/9/30,$0.21 ,$1.61 ,$1.24 ,$1.27 ,$1.44 ,561.90%
Green Leaf Lettuce,2001/9/30,$0.17 ,$1.32 ,$1.57 ,$0.94 ,$1.62 ,701.47%
Celery,2001/9/30,$0.18 ,$1.51 ,$1.19 ,$1.14 ,$1.37 ,623.61%
Cauliflower,2001/9/30,$0.25 ,$0.93 ,$1.29 ,$1.04 ,$1.03 ,329.00%
Tomatoes,2001/9/30,$0.38 ,$1.52 ,$1.92 ,$1.89 ,$2.32 ,403.29%
Carrots,2001/9/30,$0.21 ,$0.74 ,$0.84 ,$0.50 ,$0.82 ,245.24%
Strawberries,2001/9/30,$1.40 ,$3.99 ,$3.27 ,$3.99 ,$2.87 ,152.14%
Broccoli Crowns,2001/9/30,$0.42 ,$1.46 ,$1.69 ,$1.32 ,$1.64 ,263.69%
Romaine Lettuce,2001/9/30,$0.18 ,$1.30 ,$1.59 ,$1.07 ,$1.07 ,598.61%
Broccoli Bunches,2001/9/30,$0.31 ,$1.40 ,$1.36 ,$0.92 ,$1.06 ,282.26%
Red Leaf Lettuce,2001/9/30,$0.17 ,$1.32 ,$1.57 ,$0.94 ,$1.62 ,701.47%
Avocados,2001/9/30,$0.71 ,$1.33 ,$1.48 ,$1.74 ,$1.92 ,127.82%
Potatoes,2001/9/30,$0.95 ,$4.14 ,$3.62 ,$2.22 ,$3.99 ,267.63%
Plums,2001/9/30,$0.41 ,$1.49 ,$1.67 ,$1.26 ,$1.39 ,254.27%
Oranges,2001/9/30,$0.07 ,$0.93 ,$0.50 ,$1.01 ,$0.30 ,878.57%
Tomatoes,2001/9/23,$0.24 ,$1.42 ,$1.66 ,$1.94 ,$2.16 ,647.92%
Carrots,2001/9/23,$0.17 ,$0.74 ,$0.84 ,$0.49 ,$0.84 ,327.94%
Strawberries,2001/9/23,$1.30 ,$3.99 ,$3.02 ,$3.99 ,$2.82 ,165.77%
Broccoli Crowns,2001/9/23,$0.30 ,$1.61 ,$1.22 ,$1.17 ,$1.49 ,357.50%
Romaine Lettuce,2001/9/23,$0.17 ,$1.30 ,$1.49 ,$1.22 ,$1.07 ,647.06%
Broccoli Bunches,2001/9/23,$0.23 ,$1.35 ,$1.14 ,$0.92 ,$1.24 ,405.43%
Red Leaf Lettuce,2001/9/23,$0.18 ,$1.30 ,$1.64 ,$1.22 ,$1.79 ,726.39%
Avocados,2001/9/23,$0.75 ,$1.21 ,$1.67 ,$1.67 ,$1.87 ,114.00%
Potatoes,2001/9/23,$0.96 ,$4.14 ,$3.74 ,$2.92 ,$3.66 ,276.56%
Plums,2001/9/23,$0.43 ,$1.49 ,$1.49 ,$1.39 ,$1.40 ,235.47%
Oranges,2001/9/23,$0.07 ,$0.74 ,$0.66 ,$0.93 ,$0.46 ,896.43%
Iceberg Lettuce,2001/9/23,$0.25 ,$1.59 ,$1.34 ,$1.34 ,$1.54 ,481.00%
Green Leaf Lettuce,2001/9/23,$0.17 ,$1.30 ,$1.64 ,$1.22 ,$1.79 ,775.00%
Celery,2001/9/23,$0.19 ,$1.44 ,$0.91 ,$1.14 ,$1.42 ,546.05%
Cauliflower,2001/9/23,$0.26 ,$0.85 ,$1.39 ,$1.04 ,$0.91 ,302.88%
Nectarines,2001/9/16,$0.40 ,$1.91 ,$1.57 ,$1.49 ,$1.87 ,327.50%
Iceberg Lettuce,2001/9/16,$0.54 ,$1.49 ,$1.39 ,$1.39 ,$1.49 ,166.67%
Green Leaf Lettuce,2001/9/16,$0.23 ,$1.30 ,$1.57 ,$1.22 ,$1.87 ,547.83%
Flame Grapes,2001/9/16,$0.66 ,$1.61 ,$1.57 ,$1.82 ,$1.62 ,150.76%
Strawberries,2001/9/16,$1.05 ,$4.24 ,$2.85 ,$3.82 ,$2.69 ,223.81%
Celery,2001/9/16,$0.21 ,$1.56 ,$1.24 ,$1.14 ,$1.29 ,522.62%
Romaine Lettuce,2001/9/16,$0.22 ,$1.30 ,$1.52 ,$1.22 ,$1.07 ,480.68%
Cauliflower,2001/9/16,$0.27 ,$0.80 ,$0.84 ,$1.04 ,$0.91 ,232.41%
Red Leaf Lettuce,2001/9/16,$0.23 ,$1.30 ,$1.57 ,$1.22 ,$1.87 ,547.83%
Carrots,2001/9/16,$0.17 ,$0.74 ,$0.84 ,$0.49 ,$0.82 ,325.00%
Potatoes,2001/9/16,$1.05 ,$3.99 ,$3.99 ,$2.92 ,$3.49 ,242.62%
Broccoli Crowns,2001/9/16,$0.29 ,$1.51 ,$1.69 ,$1.17 ,$1.69 ,422.41%
Plums,2001/9/16,$0.39 ,$1.74 ,$1.46 ,$1.44 ,$1.32 ,282.05%
Broccoli Bunches,2001/9/16,$0.24 ,$1.50 ,$0.96 ,$0.92 ,$1.19 ,376.04%
Peaches,2001/9/16,$0.28 ,$1.46 ,$1.47 ,$1.36 ,$1.17 ,387.50%
Avocados,2001/9/16,$0.80 ,$1.26 ,$1.47 ,$1.67 ,$1.72 ,91.25%
Oranges,2001/9/16,$0.07 ,$0.74 ,$0.60 ,$0.82 ,$0.23 ,753.57%
Tomatoes,2001/9/16,$0.24 ,$1.65 ,$2.22 ,$3.82 ,$2.69 ,981.25%
Red Leaf Lettuce,2001/9/9,$0.29 ,$1.42 ,$1.64 ,$1.14 ,$1.87 ,423.28%
Broccoli Crowns,2001/9/9,$0.30 ,$1.64 ,$1.29 ,$1.34 ,$1.56 ,385.83%
Potatoes,2001/9/9,$1.18 ,$4.26 ,$3.62 ,$2.92 ,$3.49 ,202.75%
Broccoli Bunches,2001/9/9,$0.25 ,$1.49 ,$0.99 ,$0.97 ,$1.15 ,360.00%
Peaches,2001/9/9,$0.28 ,$1.33 ,$1.62 ,$1.34 ,$1.19 ,389.29%
Avocados,2001/9/9,$0.83 ,$1.21 ,$1.37 ,$1.77 ,$1.62 ,79.82%
Oranges,2001/9/9,$0.07 ,$0.34 ,$0.34 ,$0.42 ,$0.28 ,392.86%
Nectarines,2001/9/9,$0.40 ,$1.54 ,$1.67 ,$1.44 ,$1.52 ,285.63%
Iceberg Lettuce,2001/9/9,$0.67 ,$1.49 ,$1.39 ,$1.32 ,$1.47 ,111.57%
Green Leaf Lettuce,2001/9/9,$0.29 ,$1.28 ,$1.64 ,$1.14 ,$1.87 ,411.21%
Flame Grapes,2001/9/9,$0.66 ,$1.61 ,$1.57 ,$1.82 ,$1.62 ,150.76%
Tomatoes,2001/9/9,$0.23 ,$1.55 ,$1.89 ,$2.07 ,$2.32 ,751.09%
Celery,2001/9/9,$0.24 ,$1.54 ,$1.12 ,$1.14 ,$1.24 ,425.00%
Strawberries,2001/9/9,$1.03 ,$4.11 ,$3.09 ,$3.62 ,$2.99 ,235.19%
Cauliflower,2001/9/9,$0.19 ,$1.07 ,$1.24 ,$1.04 ,$1.03 ,476.32%
Romaine Lettuce,2001/9/9,$0.29 ,$1.35 ,$1.52 ,$1.22 ,$1.07 ,344.83%
Carrots,2001/9/9,$0.17 ,$0.74 ,$0.84 ,$0.49 ,$0.82 ,325.00%
Flame Grapes,2001/9/2,$0.67 ,$1.56 ,$1.24 ,$1.69 ,$1.89 ,138.06%
Tomatoes,2001/9/2,$0.27 ,$1.49 ,$1.99 ,$2.07 ,$2.32 ,628.70%
Celery,2001/9/2,$0.24 ,$1.46 ,$1.29 ,$1.07 ,$1.24 ,427.08%
Strawberries,2001/9/2,$1.30 ,$3.61 ,$3.13 ,$3.24 ,$2.99 ,149.42%
Cauliflower,2001/9/2,$0.17 ,$1.13 ,$1.19 ,$1.02 ,$1.03 ,542.65%
Romaine Lettuce,2001/9/2,$0.29 ,$1.35 ,$1.47 ,$1.22 ,$1.07 ,340.52%
Carrots,2001/9/2,$0.17 ,$0.74 ,$0.84 ,$0.45 ,$0.84 ,322.06%
Red Leaf Lettuce,2001/9/2,$0.32 ,$1.42 ,$1.64 ,$1.22 ,$1.69 ,366.41%
Broccoli Crowns,2001/9/2,$0.35 ,$1.61 ,$1.69 ,$1.34 ,$1.49 ,337.86%
Potatoes,2001/9/2,$1.21 ,$4.24 ,$4.04 ,$2.87 ,$4.49 ,223.14%
Broccoli Bunches,2001/9/2,$0.28 ,$1.43 ,$1.22 ,$0.97 ,$1.13 ,324.11%
Peaches,2001/9/2,$0.28 ,$1.36 ,$1.57 ,$1.52 ,$1.12 ,397.32%
Avocados,2001/9/2,$0.73 ,$1.26 ,$1.60 ,$1.77 ,$1.72 ,117.47%
Oranges,2001/9/2,$0.07 ,$0.34 ,$0.40 ,$0.42 ,$0.28 ,414.29%
Nectarines,2001/9/2,$0.40 ,$1.71 ,$1.54 ,$1.57 ,$1.44 ,291.25%
Iceberg Lettuce,2001/9/2,$0.68 ,$1.61 ,$1.31 ,$1.19 ,$1.49 ,105.88%
Green Leaf Lettuce,2001/9/2,$0.35 ,$1.28 ,$1.64 ,$1.22 ,$1.69 ,316.43%
Peaches,2001/8/26,$0.24 ,$1.12 ,$1.29 ,$1.64 ,$1.12 ,438.54%
Avocados,2001/8/26,$0.67 ,$1.09 ,$1.60 ,$1.17 ,$1.62 ,104.48%
Oranges,2001/8/26,$0.07 ,$0.34 ,$0.34 ,$0.52 ,$0.32 ,442.86%
Nectarines,2001/8/26,$0.41 ,$1.56 ,$1.46 ,$1.37 ,$1.32 ,248.17%
Iceberg Lettuce,2001/8/26,$0.58 ,$1.54 ,$1.31 ,$1.09 ,$1.54 ,136.21%
Green Leaf Lettuce,2001/8/26,$0.49 ,$1.27 ,$1.52 ,$1.07 ,$1.64 ,180.61%
Flame Grapes,2001/8/26,$0.65 ,$1.29 ,$0.78 ,$1.69 ,$1.24 ,92.31%
Tomatoes,2001/8/26,$0.36 ,$1.49 ,$1.89 ,$1.74 ,$2.32 ,416.67%
Celery,2001/8/26,$0.23 ,$1.46 ,$0.96 ,$1.14 ,$1.44 ,443.48%
Strawberries,2001/8/26,$1.69 ,$3.11 ,$2.97 ,$2.92 ,$2.99 ,77.37%
Cauliflower,2001/8/26,$0.18 ,$1.13 ,$1.32 ,$0.99 ,$1.21 ,545.83%
Romaine Lettuce,2001/8/26,$0.41 ,$1.40 ,$1.52 ,$1.22 ,$1.07 ,217.68%
Carrots,2001/8/26,$0.17 ,$0.74 ,$0.84 ,$0.48 ,$0.82 ,323.53%
Red Leaf Lettuce,2001/8/26,$0.41 ,$1.27 ,$1.52 ,$1.14 ,$1.72 ,244.51%
Broccoli Crowns,2001/8/26,$0.42 ,$1.49 ,$1.68 ,$1.29 ,$1.54 ,257.14%
Potatoes,2001/8/26,$1.29 ,$4.36 ,$3.49 ,$2.87 ,$3.99 ,185.08%
Broccoli Bunches,2001/8/26,$0.37 ,$1.43 ,$1.17 ,$0.99 ,$1.26 ,227.70%
Romaine Lettuce,2001/8/19,$0.43 ,$1.27 ,$1.52 ,$1.19 ,$0.96 ,187.21%
Cauliflower,2001/8/19,$0.24 ,$1.17 ,$1.29 ,$0.97 ,$1.05 ,366.67%
Red Leaf Lettuce,2001/8/19,$0.40 ,$1.27 ,$1.52 ,$1.12 ,$1.64 ,246.88%
Carrots,2001/8/19,$0.17 ,$0.74 ,$0.73 ,$0.52 ,$0.82 ,313.24%
Potatoes,2001/8/19,$1.40 ,$4.74 ,$3.24 ,$2.82 ,$3.89 ,162.32%
Broccoli Crowns,2001/8/19,$0.42 ,$1.51 ,$1.68 ,$1.29 ,$1.52 ,257.14%
Plums,2001/8/19,$0.32 ,$1.44 ,$1.19 ,$1.44 ,$1.09 ,303.13%
Broccoli Bunches,2001/8/19,$0.32 ,$1.45 ,$1.32 ,$0.97 ,$1.09 ,277.34%
Peaches,2001/8/19,$0.18 ,$0.99 ,$1.42 ,$1.32 ,$1.06 ,565.28%
Avocados,2001/8/19,$0.65 ,$1.14 ,$1.69 ,$1.67 ,$1.45 ,128.85%
Oranges,2001/8/19,$0.07 ,$0.34 ,$0.32 ,$0.51 ,$0.34 ,439.29%
Nectarines,2001/8/19,$0.43 ,$1.36 ,$1.42 ,$1.29 ,$1.37 ,216.28%
Iceberg Lettuce,2001/8/19,$0.52 ,$1.54 ,$1.39 ,$1.22 ,$1.49 ,171.15%
Green Leaf Lettuce,2001/8/19,$0.48 ,$1.27 ,$1.52 ,$1.12 ,$1.64 ,189.06%
Tomatoes,2001/8/19,$0.35 ,$1.49 ,$1.66 ,$2.07 ,$2.32 ,438.57%
Flame Grapes,2001/8/19,$0.60 ,$1.36 ,$1.49 ,$1.66 ,$1.54 ,152.08%
Strawberries,2001/8/19,$1.50 ,$2.99 ,$2.81 ,$2.89 ,$2.87 ,92.67%
Celery,2001/8/19,$0.23 ,$1.51 ,$1.24 ,$1.12 ,$1.37 ,469.57%
Iceberg Lettuce,2001/8/12,$0.44 ,$1.54 ,$1.52 ,$1.22 ,$1.59 ,233.52%
Green Leaf Lettuce,2001/8/12,$0.28 ,$1.32 ,$1.37 ,$0.89 ,$1.64 ,366.07%
Tomatoes,2001/8/12,$0.46 ,$1.32 ,$2.17 ,$1.94 ,$1.87 ,296.74%
Flame Grapes,2001/8/12,$0.58 ,$1.46 ,$1.49 ,$1.82 ,$2.04 ,193.53%
Strawberries,2001/8/12,$1.29 ,$2.79 ,$2.98 ,$2.26 ,$2.62 ,106.40%
Celery,2001/8/12,$0.19 ,$1.59 ,$1.24 ,$1.12 ,$1.54 ,622.37%
Romaine Lettuce,2001/8/12,$0.23 ,$1.32 ,$1.37 ,$1.14 ,$1.19 ,445.65%
Cauliflower,2001/8/12,$0.30 ,$1.08 ,$1.29 ,$1.02 ,$1.15 ,278.33%
Red Leaf Lettuce,2001/8/12,$0.25 ,$1.32 ,$1.37 ,$0.89 ,$1.64 ,422.00%
Carrots,2001/8/12,$0.17 ,$0.74 ,$0.84 ,$0.52 ,$0.94 ,347.06%
Potatoes,2001/8/12,$1.40 ,$4.61 ,$3.99 ,$2.82 ,$4.29 ,180.54%
Broccoli Crowns,2001/8/12,$0.36 ,$1.41 ,$0.99 ,$1.34 ,$1.72 ,279.17%
Plums,2001/8/12,$0.24 ,$1.34 ,$1.39 ,$1.49 ,$1.25 ,469.79%
Broccoli Bunches,2001/8/12,$0.27 ,$1.27 ,$1.32 ,$1.02 ,$1.17 ,342.59%
Peaches,2001/8/12,$0.18 ,$1.26 ,$1.21 ,$1.52 ,$0.97 ,588.89%
Avocados,2001/8/12,$0.64 ,$1.04 ,$1.67 ,$1.54 ,$1.50 ,124.61%
Oranges,2001/8/12,$0.08 ,$0.34 ,$0.57 ,$0.58 ,$0.36 ,478.13%
Nectarines,2001/8/12,$0.34 ,$1.31 ,$1.39 ,$1.62 ,$1.09 ,297.79%
Peaches,2001/8/5,$0.19 ,$1.11 ,$1.11 ,$1.26 ,$0.92 ,478.95%
Avocados,2001/8/5,$0.57 ,$1.11 ,$1.60 ,$1.49 ,$1.50 ,150.00%
Oranges,2001/8/5,$0.08 ,$0.37 ,$0.46 ,$0.58 ,$0.36 ,453.13%
Nectarines,2001/8/5,$0.26 ,$1.64 ,$1.11 ,$1.39 ,$1.09 ,402.88%
Iceberg Lettuce,2001/8/5,$0.51 ,$1.44 ,$1.42 ,$1.14 ,$1.39 ,164.22%
Green Leaf Lettuce,2001/8/5,$0.23 ,$1.22 ,$1.52 ,$0.94 ,$1.52 ,465.22%
Flame Grapes,2001/8/5,$0.58 ,$1.24 ,$1.03 ,$1.92 ,$1.92 ,163.36%
Celery,2001/8/5,$0.19 ,$1.49 ,$1.19 ,$1.04 ,$1.59 ,598.68%
Cauliflower,2001/8/5,$0.28 ,$1.06 ,$1.17 ,$1.04 ,$1.15 ,294.64%
Carrots,2001/8/5,$0.17 ,$0.74 ,$0.82 ,$0.50 ,$0.82 ,323.53%
Broccoli Crowns,2001/8/5,$0.31 ,$1.54 ,$0.00 ,$1.34 ,$1.54 ,256.45%
Broccoli Bunches,2001/8/5,$0.24 ,$1.37 ,$1.01 ,$1.04 ,$1.27 ,388.54%
Tomatoes,2001/8/5,$0.33 ,$1.39 ,$1.82 ,$1.77 ,$2.16 ,440.91%
Strawberries,2001/8/5,$1.10 ,$2.74 ,$2.17 ,$2.62 ,$2.62 ,130.68%
Romaine Lettuce,2001/8/5,$0.19 ,$1.22 ,$1.52 ,$1.07 ,$1.07 ,542.11%
Red Leaf Lettuce,2001/8/5,$0.22 ,$1.22 ,$1.52 ,$0.94 ,$1.52 ,490.91%
Potatoes,2001/8/5,$1.40 ,$3.99 ,$3.89 ,$2.82 ,$4.29 ,167.68%
Plums,2001/8/5,$0.23 ,$1.29 ,$1.04 ,$1.44 ,$1.25 ,445.65%
Cauliflower,2001/7/29,$0.24 ,$1.00 ,$1.31 ,$0.92 ,$1.06 ,346.88%
Red Leaf Lettuce,2001/7/29,$0.26 ,$1.45 ,$1.47 ,$0.99 ,$1.59 ,428.85%
Carrots,2001/7/29,$0.17 ,$0.74 ,$0.69 ,$0.50 ,$0.82 ,304.41%
Potatoes,2001/7/29,$1.40 ,$4.14 ,$3.57 ,$2.77 ,$4.49 ,167.32%
Broccoli Crowns,2001/7/29,$0.30 ,$1.64 ,$1.49 ,$1.36 ,$1.64 ,410.83%
Plums,2001/7/29,$0.28 ,$1.26 ,$1.44 ,$1.09 ,$1.24 ,349.11%
Broccoli Bunches,2001/7/29,$0.23 ,$1.37 ,$1.21 ,$1.04 ,$0.93 ,394.57%
Peaches,2001/7/29,$0.20 ,$1.26 ,$1.66 ,$1.47 ,$1.89 ,685.00%
Avocados,2001/7/29,$0.53 ,$1.11 ,$1.40 ,$1.62 ,$1.50 ,165.57%
Oranges,2001/7/29,$0.08 ,$0.40 ,$0.45 ,$0.52 ,$0.29 ,418.75%
Nectarines,2001/7/29,$0.24 ,$1.76 ,$1.66 ,$1.59 ,$1.42 ,569.79%
Iceberg Lettuce,2001/7/29,$0.59 ,$1.31 ,$1.19 ,$0.94 ,$1.49 ,108.90%
Green Leaf Lettuce,2001/7/29,$0.28 ,$1.37 ,$1.47 ,$0.99 ,$1.59 ,383.93%
Tomatoes,2001/7/29,$0.24 ,$1.39 ,$1.99 ,$1.94 ,$2.16 ,679.17%
Flame Grapes,2001/7/29,$0.59 ,$1.46 ,$1.69 ,$2.04 ,$1.31 ,175.42%
Strawberries,2001/7/29,$1.05 ,$2.19 ,$2.94 ,$2.52 ,$2.87 ,150.48%
Celery,2001/7/29,$0.19 ,$1.67 ,$1.22 ,$0.97 ,$1.57 ,614.47%
Romaine Lettuce,2001/7/29,$0.32 ,$1.20 ,$1.34 ,$0.94 ,$1.07 ,255.47%
Green Leaf Lettuce,2001/7/22,$0.24 ,$1.24 ,$1.47 ,$0.84 ,$1.59 ,435.42%
Tomatoes,2001/7/22,$0.37 ,$1.04 ,$2.06 ,$1.79 ,$2.32 ,387.16%
Flame Grapes,2001/7/22,$0.58 ,$1.27 ,$1.49 ,$2.07 ,$1.92 ,190.95%
Strawberries,2001/7/22,$1.05 ,$2.75 ,$2.51 ,$2.77 ,$2.50 ,150.71%
Celery,2001/7/22,$0.23 ,$1.61 ,$1.34 ,$1.07 ,$1.44 ,493.48%
Romaine Lettuce,2001/7/22,$0.28 ,$1.14 ,$1.34 ,$0.94 ,$1.07 ,300.89%
Cauliflower,2001/7/22,$0.31 ,$1.06 ,$1.31 ,$1.02 ,$0.96 ,250.81%
Red Leaf Lettuce,2001/7/22,$0.24 ,$1.44 ,$1.47 ,$0.84 ,$1.59 ,456.25%
Carrots,2001/7/22,$0.17 ,$0.74 ,$0.82 ,$0.50 ,$0.79 ,319.12%
Potatoes,2001/7/22,$1.32 ,$3.81 ,$3.57 ,$2.72 ,$3.99 ,166.86%
Broccoli Crowns,2001/7/22,$0.29 ,$1.64 ,$1.68 ,$1.34 ,$1.75 ,452.59%
Plums,2001/7/22,$0.29 ,$1.34 ,$1.71 ,$1.17 ,$1.82 ,420.69%
Broccoli Bunches,2001/7/22,$0.23 ,$1.35 ,$1.29 ,$1.07 ,$1.28 ,442.39%
Peaches,2001/7/22,$0.20 ,$1.46 ,$1.59 ,$1.29 ,$1.74 ,660.00%
Avocados,2001/7/22,$0.57 ,$1.06 ,$1.64 ,$1.42 ,$1.50 ,146.49%
Oranges,2001/7/22,$0.08 ,$0.27 ,$0.40 ,$1.17 ,$0.29 ,565.63%
Nectarines,2001/7/22,$0.24 ,$1.64 ,$1.59 ,$1.32 ,$0.94 ,471.88%
Iceberg Lettuce,2001/7/22,$0.41 ,$1.31 ,$1.32 ,$0.99 ,$1.39 ,205.49%
Avocados,2001/7/15,$0.61 ,$0.94 ,$1.42 ,$1.32 ,$1.62 ,117.21%
Oranges,2001/7/15,$0.08 ,$0.46 ,$0.49 ,$1.28 ,$0.36 ,709.38%
Nectarines,2001/7/15,$0.20 ,$1.56 ,$1.19 ,$1.39 ,$1.31 ,581.25%
Iceberg Lettuce,2001/7/15,$0.24 ,$1.31 ,$1.32 ,$0.99 ,$1.39 ,421.88%
Green Leaf Lettuce,2001/7/15,$0.17 ,$1.26 ,$1.57 ,$0.93 ,$1.52 ,676.47%
Tomatoes,2001/7/15,$0.41 ,$0.94 ,$1.81 ,$1.69 ,$1.62 ,269.51%
Flame Grapes,2001/7/15,$0.63 ,$1.53 ,$1.52 ,$1.21 ,$1.74 ,138.10%
Strawberries,2001/7/15,$1.05 ,$2.82 ,$2.81 ,$1.87 ,$2.74 ,143.81%
Celery,2001/7/15,$0.30 ,$1.99 ,$1.49 ,$1.12 ,$2.04 ,453.33%
Romaine Lettuce,2001/7/15,$0.17 ,$1.26 ,$1.49 ,$0.99 ,$1.02 ,600.00%
Cauliflower,2001/7/15,$0.23 ,$1.18 ,$1.19 ,$1.02 ,$1.21 ,400.00%
Red Leaf Lettuce,2001/7/15,$0.18 ,$1.26 ,$1.57 ,$0.93 ,$1.52 ,633.33%
Carrots,2001/7/15,$0.17 ,$0.74 ,$0.77 ,$0.47 ,$0.82 ,311.76%
Potatoes,2001/7/15,$1.20 ,$3.49 ,$3.57 ,$2.69 ,$4.29 ,192.50%
Broccoli Crowns,2001/7/15,$0.27 ,$1.64 ,$1.29 ,$1.42 ,$1.54 ,445.37%
Plums,2001/7/15,$0.36 ,$1.26 ,$1.24 ,$1.17 ,$1.88 ,285.42%
Broccoli Bunches,2001/7/15,$0.22 ,$1.29 ,$1.22 ,$1.02 ,$1.33 ,452.27%
Peaches,2001/7/15,$0.20 ,$1.39 ,$1.09 ,$1.69 ,$1.56 ,616.25%
Red Leaf Lettuce,2001/7/8,$0.14 ,$1.19 ,$1.59 ,$0.93 ,$1.41 ,814.29%
