dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Customer Personality Analysis Dataset,"Do the variables ""Recency"" and ""MntFishProducts"" exhibit similar distribution curves?","[{""column_header"": ""Recency"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntFishProducts"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Recency"", ""MntFishProducts""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Lung Cancer Survey Dataset,Do different categories of YELLOW_FINGERS show variations in the impact of FATIGUE on COUGHING?,"[{""column_header"": ""FATIGUE "", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""COUGHING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""YELLOW_FINGERS"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.01033}"", ""conclusion"": ""Not independent""}]","{""columns"": [""FATIGUE "", ""COUGHING"", ""YELLOW_FINGERS""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Student Information and Grades Dataset,Is there evidence of a relationship between students' involvement in additional work and their mode of transportation?,"[{""column_header"": ""Additional_Work"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Transportation"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.30468}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.28624}"", ""conclusion"": ""Independent""}]","{""columns"": [""Additional_Work"", ""Transportation""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Student Performance Prediction Dataset,Does the selection of a school have any connection to the rationale behind choosing that school?,"[{""column_header"": ""school"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""reason"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""school"", ""reason""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Video Games Sales Dataset,Is it reasonable to assume that the distribution of review scores for the game follows a normal distribution for statistical analysis?,"[{""column_header"": ""Review"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 42.58712, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Review""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Exercise and Fitness Metrics Dataset,"What is the likelihood that the variable ""Age"" is drawn from a normal distribution?","[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 47.09029, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Age""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Obesity or CVD Risk Dataset,Is there a relationship between the presence of family history with overweight and the different categories of NObeyesdad?,"[{""column_header"": ""family_history_with_overweight"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NObeyesdad"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""family_history_with_overweight"", ""NObeyesdad""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Student Performance Prediction Dataset,Is there a consistent association between family size and romantic relationships across different school levels?,"[{""column_header"": ""famsize"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""romantic"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""school"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.37841}"", ""conclusion"": ""Independent""}]","{""columns"": [""famsize"", ""romantic"", ""school""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
US Christmas Tree Sales Dataset,What is the correlation between the trend in the number of Christmas trees sold and the overall income derived from the sales of Christmas trees within a specific year?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.58242}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
FIFA Official Dataset 2023,Is there a discernible association pattern between the player's skill moves and their real face representation?,"[{""column_header"": ""Skill Moves"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Real Face"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Skill Moves"", ""Real Face""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Los Angeles Library Monthly Statistics,Is the degree of dispersion in the total number of program attendees similar to that in the total number of library cardholders?,"[{""column_header"": ""Total Program Attendees"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Total Cardholders"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 102.7628, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Total Program Attendees"", ""Total Cardholders""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Lung Cancer Survey Dataset,Is there variation in the impact of swallowing difficulty on chest pain when analyzed across different categories of yellow fingers?,"[{""column_header"": ""SWALLOWING DIFFICULTY"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""YELLOW_FINGERS"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.04829}"", ""conclusion"": ""Not independent""}]","{""columns"": [""SWALLOWING DIFFICULTY"", ""CHEST PAIN"", ""YELLOW_FINGERS""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
US Christmas Tree Sales Dataset,Is the distribution of the average price of Christmas trees normal?,"[{""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.49676, \\\""crit\\\"": 0.497}\""}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": 0.18366}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.59088}"", ""conclusion"": ""Normally distributed""}]","{""columns"": [""Average Tree Price""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]}",Distribution Compliance Test,hard
Exercise and Fitness Metrics Dataset,What is the measure of the standard deviation for Body Mass Index (BMI)?,"[{""column_header"": ""BMI"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""4.74613"", ""conclusion"": ""4.74613""}]","{""columns"": [""BMI""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,"Is there a correspondence between changes in the reason for choosing this school (categorized as ""close to home,"" ""school reputation,"" ""course preference,"" or ""other"") and changes in internet access at home (categorized as ""yes"" or ""no"")?","[{""column_header"": ""reason"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""internet"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00247}"", ""conclusion"": ""Not independent""}]","{""columns"": [""reason"", ""internet""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
FIFA Official Dataset 2023,Could you determine the median weight of the players in pounds?,"[{""column_header"": ""Weight"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""74.0"", ""conclusion"": ""74.0""}]","{""columns"": [""Weight""], ""methods"": [""Median""]}",Descriptive Statistics,easy
FIFA Official Dataset 2023,Is there a noticeable connection between the player's skill moves and whether the player is depicted with a real face?,"[{""column_header"": ""Skill Moves"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Real Face"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Skill Moves"", ""Real Face""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Lung Cancer Survey Dataset,How does the relationship between the presence of chronic disease and fatigue symptoms change when considering different gender groups?,"[{""column_header"": ""CHRONIC DISEASE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""FATIGUE "", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""GENDER"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.02191}"", ""conclusion"": ""Not independent""}]","{""columns"": [""CHRONIC DISEASE"", ""FATIGUE "", ""GENDER""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Rainfall Dataset of Barak Velly,Can we make the assumption that there are no significant differences in the variances between the rainfall measurements for August and September?,"[{""column_header"": ""AUG"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SEP"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.91106, \""p value\"": 0.36226}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1.49079, \""p value\"": 0.22333}"", ""conclusion"": ""Variance not significantly difference between them""}]","{""columns"": [""AUG"", ""SEP""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Rainfall Dataset of Barak Velly,What is the average amount of rainfall for the month of November?,"[{""column_header"": ""NOV"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""29.20084"", ""conclusion"": ""29.20084""}]","{""columns"": [""NOV""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Lung Cancer Survey Dataset,Is there a significant difference in the relationship between the presence of coughing symptoms and shortness of breath symptoms when stratified by smoking status?,"[{""column_header"": ""COUGHING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SMOKING"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""COUGHING"", ""SHORTNESS OF BREATH"", ""SMOKING""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Income and Happiness Score Dataset,Are the levels of dispersion in the standard deviation of self-reported happiness scores similar to those in the overall happiness score of the country?,"[{""column_header"": ""std_satisfaction"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 122.43835, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""std_satisfaction"", ""happyScore""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Los Angeles Library Monthly Statistics,Can we assume that there is no significant difference in variances between the total number of library visitors and the number of homeless individuals served at The Source?,"[{""column_header"": ""Total Library Visitors"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""# of Homeless Individuals Served at The Source"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 54.24597, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 395.42503, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 2166.03325, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Total Library Visitors"", ""# of Homeless Individuals Served at The Source""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Bank Customer Churn Prediction Dataset,Is the age of the bank customer suitable for methods that assume normality?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 142.16798, \\\""crit\\\"": 0.576}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Age""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Student Performance Prediction Dataset,Are there differences in the impact of attending nursery school on romantic relationships when analyzed across different categories of parental cohabitation status (living together or apart)?,"[{""column_header"": ""nursery"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""romantic"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Pstatus"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.52798}"", ""conclusion"": ""Independent""}]","{""columns"": [""nursery"", ""romantic"", ""Pstatus""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Customer Personality Analysis Dataset,"Is there evidence to suggest that the distribution of the amount spent on fish in the last two years, MntFishProducts, deviates from normality?","[{""column_header"": ""MntFishProducts"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 240.83195, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""MntFishProducts""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
FIFA Official Dataset 2023,To what extent do the special abilities and height of the player exhibit a linear relationship?,"[{""column_header"": ""Special"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Height"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.30054}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.26334}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.17885}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Special"", ""Height""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Income and Happiness Score Dataset,Are the variance characteristics of the adjusted self-reported happiness scores and the standard deviations of self-reported happiness scores similar?,"[{""column_header"": ""adjusted_satisfaction"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""std_satisfaction"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 211.05483, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 651.01157, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 1576.08172, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""adjusted_satisfaction"", ""std_satisfaction""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Dataset for Admission in the University,Could I assume that the distribution of scores for Letter of Recommendation (LOR) follows a normal distribution for the purpose of conducting statistical procedures?,"[{""column_header"": ""LOR "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 5.94161, \\\""crit\\\"": 0.57}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 1e-05}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""LOR ""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Student Performance Prediction Dataset,What is the association between studytime and freetime after school when adjusting for the influence of age?,"[{""column_header"": ""studytime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""age"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.06887, \""p value\"": 0.07978}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""studytime"", ""freetime"", ""age""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Crop Production Dataset,Do the variances in annual crop production in Thailand and China demonstrate statistical similarity?,"[{""column_header"": ""Thailand"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""China"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 0.18117, \""p value\"": 0.68522}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 0.29524, \""p value\"": 0.58688}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 627.30642, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Thailand"", ""China""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Los Angeles Library Monthly Statistics,Could you calculate the quartile divisions for the total number of program attendees?,"[{""column_header"": ""Total Program Attendees"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 18718.0, 'Q1': 25960.75, 'Median': 29855.0, 'Q3': 34669.0, 'Max': 54384.0}\"""", ""conclusion"": ""\""{'Min': 18718.0, 'Q1': 25960.75, 'Median': 29855.0, 'Q3': 34669.0, 'Max': 54384.0}\""""}]","{""columns"": [""Total Program Attendees""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Pokedex Dataset,Does the data show any connection between a Pokémon's legendary status and its gender classification?,"[{""column_header"": ""isLegendary"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""hasGender"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""isLegendary"", ""hasGender""], ""methods"": [""Fisher Exact Test""]}",Contingency Table Test,hard
Customer Personality Analysis Dataset,What is the relationship between the amount spent on fish products in the last 2 years (MntFishProducts) and the number of store purchases (NumStorePurchases) when controlling for the customer's yearly household income?,"[{""column_header"": ""MntFishProducts"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NumStorePurchases"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Income"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.2957, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""MntFishProducts"", ""NumStorePurchases"", ""Income""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Dataset for Admission in the University,How much variability is there in the Grade Point Average (GPA) of the applicants during their undergraduate studies?,"[{""column_header"": ""CGPA"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""3.12"", ""conclusion"": ""3.12""}]","{""columns"": [""CGPA""], ""methods"": [""Range""]}",Descriptive Statistics,easy
FIFA Official Dataset 2023,Could you calculate the median height of the players in centimeters?,"[{""column_header"": ""Height"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""181.0"", ""conclusion"": ""181.0""}]","{""columns"": [""Height""], ""methods"": [""Median""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,"After adjusting for workday alcohol consumption, what is the association between first period grade (G1) and the amount of free time after school?","[{""column_header"": ""G1"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Dalc"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.07493, \""p value\"": 0.05659}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""G1"", ""freetime"", ""Dalc""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Student Performance Prediction Dataset,Is there any evidence of an association between the type of guardian and the intention to pursue higher education?,"[{""column_header"": ""guardian"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""higher"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""guardian"", ""higher""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
University Rank Dataset,What is the mean Research Quality Score?,"[{""column_header"": ""Research Quality Score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""61.65549"", ""conclusion"": ""61.65549""}]","{""columns"": [""Research Quality Score""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Pokedex Dataset,What is the median of the Base Attack variable?,"[{""column_header"": ""Attack"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""74.0"", ""conclusion"": ""74.0""}]","{""columns"": [""Attack""], ""methods"": [""Median""]}",Descriptive Statistics,easy
Terrorist Attacks Dataset,"What is the range of variation for the age at death, specifically for individuals aged between 51 and 99?","[{""column_header"": ""Death Age: 51-99 "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""52.0"", ""conclusion"": ""52.0""}]","{""columns"": [""Death Age: 51-99 ""], ""methods"": [""Range""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,Is the variability in the quality of family relationships comparable to that of weekend alcohol consumption?,"[{""column_header"": ""famrel"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -4.40416, \""p value\"": 1e-05}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 96.72049, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""famrel"", ""Walc""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Student Performance Prediction Dataset,Is the relationship between address and nursery attendance consistent across different school types?,"[{""column_header"": ""address"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""nursery"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""school"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.59119}"", ""conclusion"": ""Independent""}]","{""columns"": [""address"", ""nursery"", ""school""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Student Performance Prediction Dataset,Is there a significant difference in variance between the age and health variables?,"[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""health"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 29.73762, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""age"", ""health""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Video Games Sales Dataset,Could you calculate the standard deviation of the review scores for the game?,"[{""column_header"": ""Review"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""10.61412"", ""conclusion"": ""10.61412""}]","{""columns"": [""Review""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Customer Personality Analysis Dataset,How can we evaluate the congruence of the distributions of household income and cost of contact?,"[{""column_header"": ""Income"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Z_CostContact"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Income"", ""Z_CostContact""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
